date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:31	20275/20275	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202013%2001:57:58%20GMT	http://www.domerama.com/wp-content/plugins/wp-ui/css/wp-ui.css?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-ui/css/wp-uia7a0.css	(from http://www.domerama.com/)
17:44:32	11556/11556	---M--	200	added ('OK')	text/css	date:Tue,%2010%20Sep%202013%2001:57:58%20GMT	http://www.domerama.com/wp-content/plugins/wp-ui/css/themes/wpui-light.css?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-ui/css/themes/wpui-lighta7a0.css	(from http://www.domerama.com/)
17:44:35	29960/29960	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2015:44:31%20GMT	http://www.domerama.com/?ver=4.4.7&suffusion-css=css	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/indexe6f6.html	(from http://www.domerama.com/)
17:44:37	7200/7200	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://www.domerama.com/)
17:44:37	33/33	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202013%2013:40:09%20GMT	http://www.domerama.com/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/ajax/static/ajax.js?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/nextgen-gallery/products/photocrati_nextgen/modules/ajax/static/ajaxa7a0.js	(from http://www.domerama.com/)
17:44:38	1959/1959	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Apr%202013%2000:10:49%20GMT	http://www.domerama.com/wp-content/plugins/sociable/js/sociable.js?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/sociable/js/sociablea7a0.js	(from http://www.domerama.com/)
17:44:39	370/370	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Apr%202013%2000:10:49%20GMT	http://www.domerama.com/wp-content/plugins/sociable/js/vuible.js?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/sociable/js/vuiblea7a0.js	(from http://www.domerama.com/)
17:44:40	602/602	---M--	200	added ('OK')	application/javascript	date:Tue,%2030%20Apr%202013%2000:10:49%20GMT	http://www.domerama.com/wp-content/plugins/sociable/js/addtofavorites.js?ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/sociable/js/addtofavoritesa7a0.js	(from http://www.domerama.com/)
17:44:40	112293/112293	---MC-	200	added ('OK')	text/css	date:Mon,%2011%20Jul%202022%2015:44:33%20GMT	http://www.domerama.com/wp-content/plugins/wp-ui/css/css.php?styles=wpui-light%7Cwpui-blue%7Cwpui-red%7Cwpui-green%7Cwpui-dark%7Cwpui-quark%7Cwpui-alma%7Cwpui-macish%7Cwpui-redmond%7Cwpui-sevin&ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-ui/css/css6557.css	(from http://www.domerama.com/)
17:44:41	4289/4289	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.core.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.core.mindb08.js	(from http://www.domerama.com/)
17:44:43	6488/6488	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.widget.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.widget.mindb08.js	(from http://www.domerama.com/)
17:44:45	11591/11591	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.tabs.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.tabs.mindb08.js	(from http://www.domerama.com/)
